name,rating,country,month_year,food_senti,service_senti,resta_senti,price_senti,room_senti,review_senti,subject_senti
DebsDesi,4,germany,Nov-14,3,0,0,3,3,8,0
Carabosse_2010,5,poland,Nov-14,0,0,0,0,5,18,2
cafebeatty,5,singapore,Nov-14,0,0,0,0,2,4,0
QuickWhitTravel,4,australia,Nov-14,0,0,0,0,0,10,1
hallomainz,4,australia,Nov-14,0,0,0,0,1,9,1
Sobo A,4,united kingdom,Nov-14,0,3,0,0,3,12,2
momo8702,5,texas,Nov-14,0,0,0,0,0,7,1
1Gorby,5,texas,Nov-14,0,0,0,0,0,3,0
Marilyn M,4,australia,Nov-14,0,0,0,0,3,12,1
R P,1,united kingdom,Nov-14,0,0,0,0,0,6,0
Ronaldo B,4,ohio,Nov-14,0,0,0,0,2,5,0
hydtrade,4,cairns,Nov-14,3,0,0,0,3,11,1
kumquattraveller,4,australia,Nov-14,0,0,0,0,0,7,0
Deborah D,4,georgia,Nov-14,0,0,4,0,4,9,0
Jewels1698,3,australia,Nov-14,0,0,0,0,0,6,1
littlemisstraveller8,5,new zealand,Nov-14,0,3,0,0,3,9,1
callhousekeeping,5,australia,Nov-14,0,0,0,0,0,4,2
Bart V,5,australia,Nov-14,0,0,0,0,0,3,0
Penny917,5,swansea,Nov-14,0,2,0,0,4,6,1
Edwerido,5,australia,Nov-14,0,0,0,0,0,9,0
Marg H,5,maryland,Nov-14,2,0,0,0,0,10,0
JuliaV18,5,indonesia,Nov-14,2,0,0,0,3,10,1
rdg444,5,united kingdom,Nov-14,0,0,0,0,1,12,0
Barry D,4,australia,Oct-14,0,0,0,0,2,7,1
C0NSUMER_ADV0CATE_1,4,cairns,Oct-14,0,0,0,0,2,10,0
suami_intan,4,australia,Oct-14,0,0,0,2,4,11,1
Dwain_Pipe,4,florida,Oct-14,0,0,0,0,1,4,1
Gecko-SJN,5,null,Oct-14,3,0,0,0,2,10,2
Clarkies_Travels,4,australia,Oct-14,0,-1,0,0,-1,5,2
adelaidegreen,5,united kingdom,Oct-14,0,0,0,0,5,10,1
jmurrayolympic,4,jawa tengah,Oct-14,0,0,2,0,6,12,1
Julia C,5,fareham,Oct-14,0,0,0,0,0,5,4
ney088,5,??,Oct-14,3,0,0,0,0,7,1
David M,4,null,Oct-14,0,0,0,0,0,7,1
Rosie K,5,utah,Oct-14,0,0,0,0,5,8,2
nicky b,4,australia,Oct-14,0,0,0,0,0,4,2
masaofc,4,london,Oct-14,0,0,3,0,4,100,13
Debtrank,5,wa,Oct-14,0,0,0,0,0,6,1
Topherallen,4,australia,Oct-14,0,0,0,0,3,11,1
hamishthedog,5,lima,Oct-14,2,0,0,0,4,12,0
Lychee82,4,china,Oct-14,0,0,0,0,0,10,1
cliveWa,3,new zealand,Oct-14,0,0,0,0,4,9,1
trekker065,4,new zealand,Oct-14,0,0,0,0,0,1,1
Janis857,5,new zealand,Oct-14,0,0,0,3,0,12,3
austrider,4,singapore,Oct-14,0,0,0,0,1,8,1
James_Kellow,5,australia,Oct-14,1,0,2,0,1,13,2
JustinMo,5,nigeria,Oct-14,0,0,0,0,0,8,2
Kummzy,5,tx,Oct-14,0,0,0,0,2,6,1
LuxeTravelerHK,5,singapore,Oct-14,0,0,0,0,4,7,0
Sawnbay,5,australia,Oct-14,0,0,0,0,0,4,1
Richard S,4,australia,Oct-14,0,0,0,0,0,8,0
Jemimagold,1,japan,Oct-14,0,0,0,0,1,3,-1
ValerieL1980,5,australia,Oct-14,0,2,0,0,4,8,1
MEW58,5,united kingdom,Oct-14,2,0,0,0,3,14,1
SydneyBridge,4,california,Oct-14,0,0,0,0,3,10,1
Makilua,5,australia,Oct-14,0,0,3,0,0,11,0
Diver T,5,minnesota,Oct-14,4,4,0,0,4,8,1
Neil D,5,australia,Oct-14,0,0,0,0,3,7,0
Firesurfer75,4,chile,Oct-14,0,0,0,0,2,7,1
joelene2,4,texas,Oct-14,0,0,0,0,0,7,1
timothy s,4,australia,Oct-14,0,0,2,0,2,7,0
Paulio911,5,singapore,Oct-14,0,1,1,0,1,6,3
Franco C,5,null,Sep-14,0,0,0,1,0,4,2
JPDallas,4,australia,Sep-14,0,0,0,0,3,11,0
Shakaka2013,5,texas,Sep-14,0,0,0,0,5,10,2
Kristie-wong,4,sydney,Sep-14,0,2,0,0,2,7,2
Dolores H,4,australia,Sep-14,0,0,0,0,1,6,1
tassh,5,australia,Sep-14,2,0,0,0,2,14,0
29RonS,5,null,Sep-14,0,0,2,0,0,6,0
EG233,5,united kingdom,Sep-14,0,0,0,0,2,4,1
Wen146,5,sri lanka,Sep-14,0,0,0,0,0,4,1
Rob S,4,msp,Sep-14,2,0,0,0,4,9,1
GrahamWhanau,5,australia,Sep-14,0,0,4,0,4,6,0
Celtic_traveller165,4,iowa,Sep-14,0,0,0,0,0,2,2
Niran123,5,united kingdom,Sep-14,2,2,2,0,2,9,2
MN_TravellerMsp,5,australia,Sep-14,2,0,0,0,3,10,1
Roger B,4,canada,Sep-14,0,0,0,0,0,5,0
travelgirl37743,4,australia,Sep-14,0,0,0,0,0,6,1
Christopher S,5,kenya,Sep-14,0,0,0,0,0,2,1
Isuru E,5,canada,Sep-14,0,5,0,0,4,10,6
drewsntravel,5,united kingdom,Sep-14,0,0,3,0,4,10,1
Kylie G,5,null,Sep-14,0,1,0,0,3,9,4
RoverWanderer_Nomad0,5,australia,Sep-14,6,0,0,0,6,11,2
ceybel t,5,null,Sep-14,1,0,0,0,1,0,2
Ariane215,5,new jersey,Sep-14,0,0,0,0,4,14,1
Bill B,5,canberra australia,Sep-14,0,0,1,1,0,16,0
Ross H,4,buderim,Sep-14,0,0,0,0,0,8,1
mrdom,4,australia,Sep-14,0,0,0,0,4,12,3
going_there_now,4,finland,Sep-14,0,0,0,0,0,9,1
AnJCanberraAustralia,5,queensland,Sep-14,3,0,0,0,3,8,1
Stays123,5,finland,Sep-14,1,3,0,0,1,9,1
zzdianne,4,france,Sep-14,0,0,0,0,0,6,0
Mallo_Pahanen,4,london,Sep-14,0,-1,0,0,3,8,0
Swissmiss6969,4,null,Sep-14,0,2,0,0,1,8,1
mangacaras,4,united kingdom,Sep-14,0,0,0,0,1,9,1
Johan O,5,australia,Sep-14,0,0,0,0,0,2,0
Ernie R,4,null,Sep-14,0,0,0,0,0,6,1
JoyD1989,5,null,Sep-14,0,0,0,0,0,11,2
MarkP39,5,punjab,Sep-14,2,0,2,0,0,6,1
Connolly47,4,singapore,Sep-14,0,0,1,0,6,13,1
rama1,4,null,Sep-14,0,0,0,0,0,4,0
Donna T,4,melbourne,Sep-14,1,0,0,0,0,3,2
KamranShaukatAliKhan,5,queensland,Sep-14,0,0,0,0,0,6,2
shank n,5,virginia,Sep-14,0,4,0,1,4,11,1
googly55,5,united kingdom,Sep-14,0,0,0,0,0,3,0
dubsMelbourne,4,indonesia,Sep-14,0,0,0,0,0,6,0
Cheryl W,5,brisbane,Sep-14,0,0,0,0,0,3,1
JMThompson2005,5,portugal,Sep-14,0,0,0,0,0,5,1
BaznSue,5,australia,Sep-14,0,0,0,0,0,7,0
rindira009,4,null,Sep-14,0,0,3,0,0,6,1
Rishen,5,malaysia,Sep-14,0,0,0,0,0,5,2
gobillabong,5,brussels,Sep-14,0,0,1,2,0,7,1
Mark S,4,china,Sep-14,0,0,0,0,3,9,2
Jnhang,4,united kingdom,Sep-14,0,0,0,0,0,3,1
Pubalan,4,null,Sep-14,3,0,0,0,2,8,1
Karina C,4,australia,Aug-14,0,0,0,0,3,9,1
mucbeypek,5,australia,Aug-14,2,0,0,0,3,15,1
aks120LasVegas,4,new zealand,Aug-14,0,0,0,0,6,15,3
Allan H,5,manchester uk,Aug-14,0,0,0,0,3,4,2
Johnpsau,5,united kingdom,Aug-14,0,0,0,0,0,5,0
Terinjohn,5,new zealand,Aug-14,1,0,0,0,2,3,1
Nikola180,5,sweden,Aug-14,0,0,0,0,1,8,1
Marraminga,4,new zealand,Aug-14,0,3,0,0,3,6,-2
jasonnoble1,5,colorado,Aug-14,0,0,0,0,4,12,1
MooseMom10,5,australia,Aug-14,2,0,0,0,2,13,3
GBGGlobetrotter,5,united kingdom,Aug-14,0,0,0,0,0,11,1
meatm8,5,australia,Aug-14,0,0,0,0,1,4,0
Nick E,4,dc,Aug-14,0,0,0,0,0,6,1
maggie_girl26,4,maryland,Aug-14,2,0,0,0,2,7,2
Karl M,4,null,Aug-14,0,0,0,0,4,14,1
PetenDeb,5,australia,Aug-14,0,0,0,0,4,10,1
Rob1233,5,eastbourne england,Aug-14,3,0,0,0,3,6,1
poolpond,4,australia,Aug-14,2,0,0,0,5,9,1
srejtt,4,uk,Aug-14,0,0,0,0,0,4,1
aimoverseas,5,united kingdom,Aug-14,0,0,0,0,2,7,0
gibfen,5,australia,Aug-14,0,0,0,0,2,8,3
B4its2late8,4,singapore,Aug-14,1,0,0,0,6,15,0
TimBrooksbank,3,norway,Aug-14,0,0,0,0,2,6,0
Martin_Aston_N420,4,abu dhabi,Aug-14,3,0,0,0,4,11,0
Peter F,5,singapore,Aug-14,1,0,1,0,5,10,1
cherpiau,4,western australia,Aug-14,0,1,0,0,-2,2,0
Anders F,5,richmond,Aug-14,1,0,0,0,4,10,1
jm222_12,4,australia,Aug-14,0,0,0,0,0,4,1
Isa12014,4,london,Aug-14,0,1,0,0,0,8,0
OzTravels80,5,null,Aug-14,5,0,0,0,5,9,1
Caroline S,5,australia,Aug-14,0,-2,0,0,1,2,1
HighHorse,5,melbourne,Aug-14,0,0,0,0,2,6,1
clairemac,5,australia,Aug-14,2,0,0,0,4,21,1
Rolo C,5,united kingdom,Aug-14,2,0,0,0,0,9,0
Hs656409,4,indonesia,Aug-14,0,0,0,0,0,2,1
melbourneman1949,4,australia,Aug-14,1,0,0,0,2,9,1
JeniAAA,4,australia,Aug-14,0,0,0,0,0,2,1
Merlesheri,5,switzerland,Aug-14,0,0,3,0,4,15,1
Susana T,5,null,Aug-14,0,0,0,0,5,9,3
Kaye19602013,5,india,Aug-14,6,0,0,0,6,9,0
peter s,5,auckland.,Aug-14,0,0,0,0,0,6,1
Michael K,4,vietnam,Aug-14,0,0,0,0,3,8,1
John L,4,australia,Aug-14,0,0,0,0,1,4,1
Rajatjainind,5,australia,Aug-14,0,0,0,0,1,7,4
Voshed,4,australia,Aug-14,0,3,0,0,3,5,2
ZulkiOthman,5,maryland,Jul-14,0,0,1,0,3,8,1
Gakmal,5,singapore,Jul-14,1,0,0,0,0,11,0
donna q,5,colorado,Jul-14,0,0,0,0,0,3,0
Seanss79,5,united kingdom,Jul-14,0,0,0,0,5,7,2
Karen R,4,singapore,Jul-14,0,0,0,0,0,3,1
lkyr,4,australia,Jul-14,0,0,0,0,2,7,1
Joel F,5,london,Jul-14,0,0,0,0,0,13,2
sandraclaire,5,australia,Jul-14,0,0,0,0,1,8,1
Krupux,5,jakarta raya,Jul-14,0,2,0,0,2,10,1
Frank M,4,wollongong,Jul-14,0,0,0,0,2,9,1
SmallWallah,4,australia,Jul-14,0,0,0,0,2,2,1
Aherns3,5,china,Jul-14,0,4,0,0,4,10,-1
Lime82,5,singapore,Jul-14,0,0,0,0,2,10,2
RyRy2003,5,melbourne,Jul-14,0,0,0,0,0,4,1
goobs_tommo,5,singapore,Jul-14,0,0,0,0,4,9,1
LitzlbergLady,4,ohio,Jul-14,0,0,1,0,3,8,1
gwenned,5,dubai,Jul-14,0,0,0,0,0,5,0
BackToMelbourne,5,australia,Jul-14,0,0,0,0,4,7,1
Khat H,5,australia,Jul-14,0,2,0,0,0,4,5
GBBB66,5,australia,Jul-14,0,0,0,0,0,7,1
SubodhJoshi,5,null,Jul-14,0,0,0,0,0,8,1
Mrsdewolf,1,australia,Jul-14,0,0,0,0,0,1,-1
Regan246,5,australia,Jul-14,0,0,0,0,0,5,0
samanthahawes,5,indonesia,Jul-14,0,0,0,0,3,12,0
Amanda N,3,brisbane,Jul-14,0,1,0,0,3,8,3
TandMMelbourne,5,new zealand,Jul-14,0,0,0,0,0,4,2
Gareth K,4,whangarei,Jul-14,0,0,0,0,0,6,6
David S,5,united kingdom,Jul-14,0,0,0,0,0,4,1
summerbabyBrisbane,5,singapore,Jul-14,0,0,0,0,5,13,1
177Chris177,4,australia,Jul-14,0,0,0,0,0,3,1
WritingKiwi,4,australia,Jul-14,0,0,0,0,0,10,1
Departure,5,china,Jul-14,5,5,0,0,5,10,0
happymrskoh,4,australia,Jul-14,0,0,0,0,4,9,2
22Elizabeth,5,new south wales,Jul-14,0,0,0,0,5,10,2
Renee B,4,jarkarta selatan,Jul-14,0,0,0,0,1,4,2
VAS1586,4,newcastle,Jul-14,3,0,0,0,3,9,2
David S,4,united kingdom,Jul-14,0,0,0,0,1,7,1
Kathy F,5,null,Jul-14,4,0,0,0,4,10,0
Meyanti Tirtowa... H,1,ohio,Jun-14,0,0,0,0,0,7,-1
CityboyNewcastle,5,nevada,Jun-14,2,4,0,0,3,16,2
Rhys268,5,australia,Jun-14,3,0,0,0,3,7,1
Chris I,3,doha,Jun-14,0,0,0,0,1,5,1
vacatraveler12,4,finland,Jun-14,2,0,0,0,0,9,1
Arthurkemish,4,australia,Jun-14,0,0,5,0,0,9,0
Linda W,5,joburg,Jun-14,0,0,0,0,0,7,1
Nicolas T,5,united kingdom,Jun-14,0,0,0,0,4,10,1
seti55,5,sydney,Jun-14,0,0,0,0,0,4,0
AustraliaAnne,5,switzerland,Jun-14,0,0,0,0,2,9,0
safferjoburg,5,australia,Jun-14,0,0,0,0,5,15,1
Sarum_Castle,5,united kingdom,Jun-14,0,0,0,0,0,3,5
AlexGil,5,null,Jun-14,0,0,0,0,1,6,1
robert_bos53,5,uk,Jun-14,0,0,0,0,0,11,0
Traveller_JohnR,5,australia,Jun-14,0,0,0,0,2,5,1
Neal16,5,united kingdom,Jun-14,0,4,5,0,0,12,2
realfatfreddy,3,busselton wa,Jun-14,3,0,0,0,5,12,1
titantraveller,5,australia,Jun-14,0,0,0,0,0,9,2
Cherie C,5,new zealand,Jun-14,9,9,0,0,9,14,0
AKWadd,5,united kingdom,Jun-14,0,0,0,0,2,11,2
Gary D,5,missouri,Jun-14,1,0,0,0,1,6,1
Kate G,4,null,Jun-14,0,0,0,0,0,5,1
nesbitevans,5,null,Jun-14,0,0,0,0,3,11,1
Scott830,4,victoria,Jun-14,0,1,2,0,1,6,1
Darin S,5,india,Jun-14,0,3,0,0,0,7,0
MY L,4,flacq,Jun-14,0,0,1,0,2,12,0
BDwithkids,4,papunya,Jun-14,0,0,0,0,0,7,1
Marilyn A,5,australia,Jun-14,2,2,0,0,3,10,1
anirvans,5,new zealand,Jun-14,0,0,0,0,0,7,1
Falihah A,1,ohio,Jun-14,0,2,0,0,2,3,0
dannyvicki,5,canada,Jun-14,0,0,3,0,0,6,0
mystic18,5,scotland,Jun-14,0,0,0,0,0,8,4
nzphotog,4,california,Jun-14,0,0,0,0,0,6,2
NelPit,5,united kingdom,Jun-14,0,0,0,0,0,8,2
vickidfenton,4,idaho,Jun-14,0,0,1,0,4,8,1
Annea,5,australia,May-14,0,0,0,0,2,5,2
Duttifree,5,los angeles ca,May-14,0,0,0,0,3,11,0
Matthew M,4,saudi arabia,May-14,0,0,0,0,4,12,1
squirrelpaws,4,london,May-14,0,0,0,0,0,9,3
AustraliaOpinion,5,india,May-14,0,0,0,0,0,11,-1
pillowsofwanderlust,4,sydney australia,May-14,4,4,0,0,0,10,0
Annette G,4,australia,May-14,7,0,0,0,7,10,1
MrandMrsB_FFM,4,australia,May-14,2,3,0,0,3,5,1
soniapatel,4,canada,May-14,0,0,0,0,0,11,2
AussieRower,4,null,May-14,0,2,0,0,8,8,0
Kate S,5,italy,May-14,4,0,0,0,3,13,0
Annj0n,5,auckland,May-14,0,0,0,0,1,2,1
bart_58,5,tennessee,May-14,4,0,0,0,4,10,2
torkover,5,canada,May-14,0,0,0,0,0,7,1
Stefano M,5,australia,May-14,0,0,1,0,0,2,0
Ricc0,5,virginia,May-14,0,0,0,0,0,4,0
Sherry287,5,texas,May-14,0,0,0,0,2,16,4
gayle15,5,canada,May-14,2,0,0,0,2,10,1
zxcbv,5,australia,May-14,0,0,0,0,6,9,2
Brett F,5,australia,May-14,0,0,0,0,0,2,1
ralph r,4,amsterdam,May-14,0,0,0,0,0,3,-2
32lizzie,5,california,May-14,0,2,0,0,3,13,2
Holidaybell,4,north carolina,May-14,0,0,2,0,4,11,1
Johnpsau,4,singapore,May-14,0,0,0,0,0,3,0
Imro,4,australia,May-14,0,0,0,0,0,4,1
JennySD2014,5,brisbane,May-14,2,0,0,0,6,12,1
wilmingtonwillie2016,5,sri lanka,May-14,0,0,0,0,2,8,0
kunal15,5,male,May-14,1,1,0,0,0,16,1
Octypepe O,5,finland,May-14,0,0,0,0,2,5,1
waterchicky,4,united kingdom,May-14,0,0,0,0,3,12,5
gankande,4,auckland,May-14,0,0,0,0,2,8,1
Adam S,5,united kingdom,May-14,0,0,0,0,3,7,1
Juha S,3,singapore,May-14,0,0,0,0,4,13,1
2TravellerNow,4,vietnam,May-14,0,0,0,0,0,15,3
Textbooks,5,null,May-14,0,0,2,0,4,12,0
David S,5,canada,May-14,0,0,0,0,3,10,1
boeing77w,5,null,May-14,0,0,0,0,2,5,2
ericvietnam,1,canada,May-14,1,0,0,0,0,6,2
Gillian B,5,the netherlands,May-14,1,0,1,1,1,6,1
deathracer,5,australia,May-14,6,0,0,0,6,7,1
Jill_and_Steve_Corv,5,australia,May-14,0,0,0,0,0,12,2
SqTraveler,4,singapore,May-14,0,0,0,1,0,1,1
worldtravel074,4,new zealand,May-14,2,0,0,0,4,11,3
elizas,5,australia,May-14,0,0,0,0,4,9,1
Yvette L,5,india,May-14,3,0,0,0,3,14,2
bcheong,4,australia,May-14,0,0,0,0,0,2,1
Ellicat2000,5,null,Apr-14,0,0,0,0,0,2,0
nyaan,5,australia,Apr-14,0,0,0,0,0,7,3
jacbinu,4,new zealand,Apr-14,0,0,0,0,0,6,-1
Davwend,3,atlanta,Apr-14,0,0,0,0,0,2,0
Syifa T,4,usa,Apr-14,0,0,0,0,2,15,1
James N,5,san diego,Apr-14,0,0,0,0,0,12,0
SusieatLigar,5,united kingdom,Apr-14,0,0,0,0,4,6,2
Dealmaker,4,australia,Apr-14,1,0,0,1,3,9,1
BlueHenFlyer,5,west east anglia,Apr-14,0,0,0,0,4,14,1
Sameer R,4,bangalore,Apr-14,0,0,0,0,3,6,1
jaelke,5,new york,Apr-14,0,0,0,0,1,14,2
stinker13,5,new zealand,Apr-14,0,0,0,0,0,7,2
Where2B,5,florida,Apr-14,0,0,0,0,0,0,1
Subrus,3,null,Apr-14,0,0,0,0,0,4,0
TMcGinn_USA,1,australia,Apr-14,0,0,0,0,1,7,0
cgarne01,5,united kingdom,Apr-14,0,0,0,0,3,11,1
Ronald G,4,null,Apr-14,3,0,3,0,3,9,1
mcoj,5,new jersey,Apr-14,0,0,0,-2,3,3,2
Judie2011,3,oregon,Apr-14,0,0,0,0,0,5,1
Alan L,5,virginia,Apr-14,4,0,0,0,4,9,0
Paul R,5,illinois,Apr-14,3,0,0,0,0,6,1
ssabo93,4,philippines,Apr-14,2,2,0,0,6,10,0
Corina B,5,denver,Apr-14,0,3,1,0,4,13,2
tombob7,4,california,Apr-14,0,0,3,0,0,7,1
Mark S,5,australia,Apr-14,0,0,0,0,1,4,1
NT23,5,ny,Apr-14,0,0,0,0,4,10,0
DenverD,5,singapore,Apr-14,0,0,0,2,2,6,1
Morcella,5,darwin,Apr-14,0,0,0,0,3,7,2
chrisnjack,5,australia,Apr-14,0,0,0,0,6,8,1
Hins,4,durham,Apr-14,0,0,0,0,0,4,1
ms-skinnyfat,5,perth,Apr-14,0,0,0,0,0,5,0
VinceDarwin,5,brisbane,Apr-14,0,0,0,-1,0,10,1
adelaidegreen,5,uk,Apr-14,0,0,0,0,2,7,0
Northerntraveller59,4,hawaii,Apr-14,0,0,0,0,7,13,1
Perthfunmum,4,singapore,Apr-14,0,0,0,0,3,6,0
bnecpl,4,null,Apr-14,0,0,0,0,0,4,0
Cornish,4,china,Apr-14,0,0,0,0,1,5,3
CR88,5,usa,Apr-14,2,5,2,0,2,14,1
BenLuZf,2,massachusetts,Apr-14,0,0,0,0,0,6,0
Daniel H,4,saudi arabia,Apr-14,0,0,0,0,4,6,2
Joejoejoehk,5,atlanta,Apr-14,0,0,0,0,0,7,2
MargaretVirginia_USA,5,australia,Apr-14,0,0,0,0,3,9,1
Robert H,4,canada,Mar-14,0,0,0,0,3,8,1
RI24,5,australia,Mar-14,0,0,0,0,0,4,1
stephenpugh,4,australia,Mar-14,0,0,0,0,6,9,1
Rebecca E,5,australia,Mar-14,0,0,0,0,0,4,1
Ontheblackhill,5,brunei darussalam,Mar-14,0,0,0,0,3,6,1
TerryAustralia2015,2,msp,Mar-14,0,0,0,0,0,5,1
Brian H,5,new zealand,Mar-14,0,0,0,0,2,7,1
Lee78AUS,4,switzerland,Mar-14,0,0,0,3,3,12,1
storm t,3,georgia,Mar-14,0,0,0,0,0,6,1
MN_TravellerMsp,4,australia,Mar-14,0,0,0,0,0,9,3
MarkAmber,5,uk,Mar-14,5,4,0,0,2,15,1
johan6688,5,canada,Mar-14,0,1,0,0,5,13,1
Annique D,5,israel,Mar-14,0,0,0,0,0,9,1
Leigh C,4,texas,Mar-14,0,0,0,0,2,5,0
Soleil058,5,united kingdom,Mar-14,0,1,0,0,3,6,1
JHYYZ,5,null,Mar-14,0,6,2,0,0,10,1
wolfman50,5,united kingdom,Mar-14,0,0,0,0,0,4,1
Wandering-J-USA,4,australia,Mar-14,0,0,0,0,3,6,1
mrandmrs111,5,scottsdale,Mar-14,0,0,3,0,4,10,0
Banno88,5,united kingdom,Mar-14,0,0,0,0,0,7,1
gringo71,4,united kingdom,Mar-14,0,0,0,0,0,4,0
Craig L,5,australia,Mar-14,1,0,0,0,6,9,3
PeterAZ,5,null,Mar-14,0,0,0,0,2,10,1
Marianne C,4,california,Mar-14,0,3,0,0,3,14,1
Tina H,4,washington,Mar-14,0,0,0,0,0,8,1
TrisnoK,5,canada,Mar-14,0,0,2,0,1,22,0
Jessie H,5,latvia,Mar-14,0,0,0,0,3,6,3
carli2sway,4,adelaide,Mar-14,13,13,0,0,0,15,2
Kathy G,5,null,Mar-14,0,0,0,0,0,3,1
Mario S,4,london,Mar-14,0,0,0,1,0,4,0
Valts V,5,null,Mar-14,0,0,0,0,10,11,1
nodnyls,4,india,Mar-14,0,0,0,0,0,1,1
SHwick,5,nebraska,Mar-14,0,0,0,0,0,8,2
Cyba,5,california,Mar-14,0,2,1,0,2,9,2
Fiparker7,5,florida,Mar-14,0,4,0,0,4,8,0
Kumar R,5,rotterdam,Mar-14,0,0,0,0,0,4,1
csinclaire,5,perth australia,Feb-14,1,0,0,0,0,8,1
Steve H,5,washington,Feb-14,0,0,0,0,1,3,4
RickShoemaker,4,liverpool,Feb-14,0,0,0,0,0,2,-1
hansenmf,5,united kingdom,Feb-14,0,0,0,3,0,7,1
PatwaPerthAustralia,4,washington,Feb-14,0,0,0,0,4,9,1
palladia,4,pennsylvania,Feb-14,0,1,0,0,3,8,2
mimlloyd,5,australia,Feb-14,0,1,0,0,1,7,2
Topcat2011,5,australia,Feb-14,0,0,0,0,3,9,2
Amy C,4,united kingdom,Feb-14,2,0,0,0,3,4,2
Liisa and Dave B,4,china,Feb-14,0,0,0,0,0,6,1
J E,5,australia,Feb-14,0,4,4,0,0,10,1
Maggie T,5,indonesia,Feb-14,0,0,0,0,0,3,1
Jeanalewis,5,california,Feb-14,3,0,0,0,2,6,1
swissmiss2014,3,beijing,Feb-14,0,0,0,0,1,8,0
KeKu1999,4,malaysia,Feb-14,0,0,0,0,0,9,2
David S,5,china,Feb-14,0,0,0,0,1,7,0
DT94024,4,germany,Feb-14,0,0,0,0,0,9,1
MCzaiBeijing,5,england,Feb-14,0,0,0,0,0,5,1
Stapatt,4,or,Feb-14,0,0,0,0,0,5,1
AjayJM,4,california,Feb-14,0,1,0,0,3,10,1
Jochen S,5,new zealand,Feb-14,0,0,0,0,0,4,2
Dustymiller44,5,null,Feb-14,0,0,0,0,0,4,1
rsilver4608,5,new jersey,Feb-14,0,0,0,0,0,7,1
MGE5R,4,england,Feb-14,0,0,0,0,3,10,2
Peter W,5,australia,Feb-14,0,0,0,0,3,10,1
Ripper71,5,malaysia,Feb-14,0,0,0,0,-1,6,1
LBCdovs,4,saudi arabia,Feb-14,0,0,0,0,0,5,1
Lynn T,4,florida,Jan-14,0,0,0,0,1,4,2
Caroline K,4,northern va,Jan-14,0,0,0,0,0,5,3
lookeatsleep,4,singapore,Jan-14,2,0,0,0,4,15,1
anj p,5,null,Jan-14,0,0,0,2,1,10,2
jjenkins04,5,australia,Jan-14,1,0,0,0,0,9,0
VATraveler003,5,united kingdom,Jan-14,0,0,0,0,0,2,3
switsdaniq,4,united kingdom,Jan-14,0,0,0,0,1,3,1
C S,5,australia,Jan-14,2,0,0,0,2,12,1
FamilyTravelJunkkie,4,washington,Jan-14,0,0,4,0,4,11,1
Tylor_the_Lorax,1,singapore,Jan-14,0,0,0,0,1,6,1
freqstayer,5,malaysia,Jan-14,0,0,0,0,0,5,0
Kiwi1956,1,hampshire,Jan-14,0,0,0,0,0,-3,1
JacquelineB228,5,florida,Jan-14,2,0,0,0,0,11,2
omgitsxav,4,australia,Jan-14,0,0,0,0,0,6,-1
RA888,4,canada,Jan-14,0,0,0,0,0,6,0
HampshireTravelHound,5,india,Jan-14,0,0,0,0,4,13,1
cruiseteachers,4,sheffield,Jan-14,0,0,0,0,1,1,1
Ravip,5,sweden,Jan-14,0,0,3,0,0,14,1
DutchTravel1978,4,australia,Jan-14,0,0,0,0,2,8,2
aditibhambhani,5,australia,Jan-14,3,0,0,0,5,9,1
Uppermilden,4,comunidad valenciana,Jan-14,0,0,0,0,2,8,1
Lisnorl,4,singapore,Jan-14,0,0,0,0,2,8,1
Mudjimba,4,new zealand,Jan-14,0,0,0,0,2,6,1
Marek C,5,united kingdom,Jan-14,0,0,0,0,3,7,2
Trevor A,5,arizona,Jan-14,0,0,2,2,4,11,1
123BittenByTravelBug,5,singapore,Jan-14,0,0,0,0,1,9,1
F1gar0,4,australia,Jan-14,0,0,0,0,0,5,1
Frank_Eilbeck1938,4,san diego,Jan-14,0,0,2,0,3,7,0
ArizonaTraveler2,5,indonesia,Jan-14,0,4,2,0,4,12,2
Flytheworldover,5,united arab emirates,Jan-14,0,0,0,0,0,7,2
Elise J,4,china,Jan-14,0,0,0,0,4,11,2
boti,5,null,Jan-14,0,0,0,0,5,15,1
C_Agustino,5,australia,Jan-14,3,0,0,0,4,10,1
martinmatousek,5,california,Jan-14,0,0,0,0,0,9,0
rtw99,4,null,Jan-14,-2,0,-1,0,3,6,0
AussieTweedFamily,5,maryland,Jan-14,1,0,0,0,3,10,2
Mookiandsam,4,united kingdom,Jan-14,0,0,0,0,2,12,2
ofarreb,4,western australia,Jan-14,0,0,0,0,0,8,1
Damian A,5,null,Jan-14,2,0,2,0,4,12,1
cdefraites1,5,australia,Jan-14,0,0,0,0,-1,3,0
petercheshire,5,singapore,Jan-14,0,0,0,0,4,11,0
tranzactnow,5,new hampshire,Jan-14,0,0,0,0,0,3,1
June K,4,sydney,Jan-14,2,0,0,0,2,4,2
GlobeJump,5,united kingdom,Jan-14,0,0,0,0,0,6,1
Helen S,4,france,Jan-14,0,0,0,0,5,10,2
LiveFreeOrTravel,5,singapore,Jan-14,0,0,0,0,1,4,2
selliot64,5,australia,Dec-13,0,0,0,0,0,7,1
jonathan62,5,australia,Dec-13,0,0,0,0,4,12,2
TarnMark81,5,los angeles ca,Dec-13,0,0,2,0,0,6,1
momo8702,4,california,Dec-13,0,0,0,0,2,4,1
